number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
33,0.5410816152427882,2025-10-11 22:39:26.544102,2025-10-11 22:39:28.054446,0 days 00:00:01.510344,0.6090786140978139,6,0.6303994510560054,4.140881194932128,1.2895936016509297,0.014795480784170091,10,59,131,COMPLETE
34,0.5316878122648293,2025-10-11 22:39:28.055445,2025-10-11 22:39:29.980358,0 days 00:00:01.924913,0.7190193421790089,7,0.9697477557949096,3.841235401211049,3.6705743487742444,0.008359823132337782,9,65,177,COMPLETE
35,0.5369229221782431,2025-10-11 22:39:29.982352,2025-10-11 22:39:31.601727,0 days 00:00:01.619375,0.6678245216424936,6,0.9137045621018051,4.455012476648592,2.717748231798076,0.01219226091887809,8,49,67,COMPLETE
36,0.544155706116286,2025-10-11 22:39:31.603722,2025-10-11 22:39:33.467272,0 days 00:00:01.863550,0.5569854959411484,5,0.8654010948137358,3.594866767401119,0.7907399314309623,0.010194575185439148,9,40,126,COMPLETE
37,0.5417504704549607,2025-10-11 22:39:33.469266,2025-10-11 22:39:34.446315,0 days 00:00:00.977049,0.5222710213132615,7,0.5642172125113806,4.688826094649687,0.30148077533947176,0.01792419098497976,11,89,98,COMPLETE
38,0.5485533465824248,2025-10-11 22:39:34.447312,2025-10-11 22:39:35.663965,0 days 00:00:01.216653,0.5525079795289262,1,0.890084650988415,3.3692482857888466,1.2690268016549342,0.01458610445890415,7,57,83,COMPLETE
39,0.5377092915352237,2025-10-11 22:39:35.664962,2025-10-11 22:39:38.568553,0 days 00:00:02.903591,0.625345724507388,6,0.9747055312503038,1.883630241099815,0.5458022653094396,0.0074430604719656155,10,25,233,COMPLETE
40,0.5420448954713992,2025-10-11 22:39:38.569551,2025-10-11 22:39:39.939886,0 days 00:00:01.370335,0.6671235665465035,3,0.6074920631852927,4.0164768425189346,2.4308437948518864,0.005934292328356794,8,71,256,COMPLETE
41,0.5407236201056114,2025-10-11 22:39:39.942878,2025-10-11 22:39:41.709154,0 days 00:00:01.766276,0.537676315684988,7,0.9056879542682964,3.7513419528519223,0.9446551325208932,0.011061877482215408,6,13,83,COMPLETE
42,0.54370063000144,2025-10-11 22:39:41.711148,2025-10-11 22:39:44.906255,0 days 00:00:03.195107,0.5793879449009792,7,0.893199105933611,4.381780077818415,0.037872571110706334,0.008874977576295422,8,9,54,COMPLETE
43,0.5308258911234272,2025-10-11 22:39:44.907252,2025-10-11 22:39:47.089372,0 days 00:00:02.182120,0.5321195352481216,7,0.8542578844625922,3.218436801746638,1.1280064943033605,0.009831201093893875,9,19,79,COMPLETE
44,0.548918923312779,2025-10-11 22:39:47.090371,2025-10-11 22:39:48.631569,0 days 00:00:01.541198,0.5997135546138167,6,0.9309170287976841,2.8790344578413656,3.1090723312654003,0.04064527272154229,6,33,102,COMPLETE
45,0.5397942088676567,2025-10-11 22:39:48.633565,2025-10-11 22:39:49.972865,0 days 00:00:01.339300,0.9688310483927279,7,0.540859681630605,4.719664418797858,1.457507903538119,0.02361306858113298,7,80,147,COMPLETE
46,0.5491575854595399,2025-10-11 22:39:49.974860,2025-10-11 22:39:51.148614,0 days 00:00:01.173754,0.5161761315618829,4,0.9862790519852817,3.8928510342151665,3.7563392622284457,0.012491858932984082,4,25,124,COMPLETE
47,0.5507998080095395,2025-10-11 22:39:51.149610,2025-10-11 22:39:52.834491,0 days 00:00:01.684881,0.5760815042525284,5,0.8792585392280914,2.6069809656287726,1.7975610461970086,0.008438224437715946,9,41,93,COMPLETE
48,0.5427187907558392,2025-10-11 22:39:52.836486,2025-10-11 22:39:54.981891,0 days 00:00:02.145405,0.6789463353914569,5,0.837051037420135,2.4565322603153104,1.952689667394901,0.008040201297069923,10,40,91,COMPLETE
49,0.5342447071447889,2025-10-11 22:39:54.982888,2025-10-11 22:39:57.183006,0 days 00:00:02.200118,0.7854783568947485,1,0.8808104406591758,2.0327472242273528,1.7612248598320952,0.006900651680375619,11,44,205,COMPLETE
